Datasets,AVF,CBRW,CompreX,FPOF,POP,SCAN,SDRW,Zero++,DeepSVDD_ca,DeepSVDD_idf,DeepSVDD_one,DeepSVDD_pivot,DeepSVDD_nocat,FastABOD_ca,FastABOD_idf,FastABOD_one,FastABOD_pivot,FastABOD_nocat,iForest_ca,iForest_idf,iForest_one,iForest_pivot,iForest_nocat,KNN_ca,KNN_idf,KNN_one,KNN_pivot,KNN_nocat,LOF_ca,LOF_idf,LOF_one,LOF_pivot,LOF_nocat,McCatch_ca,McCatch_idf,McCatch_one,McCatch_pivot,McCatch_nocat
bank-additional-ful-nominal,0.0140536786338683,0.0286412807376026,0.0248110639308598,0.0383467082230072,0.0416899006354589,0.0558169016264328,0.0347739930170822,0.009088186988722,0.0022240190786112,0.0765148371372361,0.0683712460682481,-0.0080077882378529,0.0,0.2531635421972993,0.2057426089864019,0.0366194038713143,0.0148968105379446,0.0,0.0376176171583347,0.0181457913175049,0.0184402663715543,-0.0019960716564163,0.0,0.0301305868499829,0.0468571792273072,-0.0073347487539408,-0.0013807866381287,0.0,0.0350987331274784,0.0366090479388047,0.0372454127079555,0.0160143950991143,0.0,-0.0083599823100819,-0.001928145047035,-0.0168348774057438,-0.0046434824166205,0.0
census-income-full-nominal,0.0848435924379928,-0.0113117357108347,-0.0239693060339488,-0.0077719080978925,-0.0340752307348901,0.0,-0.0312156166285998,0.0263922715934257,0.0008515377058802,0.0502146766189576,0.0115220926612981,0.0022090833364265,0.026720228744276,0.0,0.0,0.0,0.003932798078324,0.0,-0.0174033177312002,-0.0264655063233001,-0.0177249048394784,-0.0004660759504806,0.0173878801449687,-0.0150396141846856,-0.0167312973924033,-0.0194031878795085,0.0002533002203988,0.0290795787489026,0.0133831585211863,0.0050582361257267,0.0253770420576096,0.0108820916087653,0.0434235721778265,-0.0008819855217134,0.0009545504791567,-0.0011706384506206,-0.0003339276544813,0.0
chess_krkopt_zerovsall,-0.0002421752183361,0.0008152861786235,0.0003771306387025,-0.0002661315968308,-0.0003042853435131,-0.0003032412361793,0.0034513432608892,-0.0003630027188583,0.0002122624680489,0.0070687725736181,0.0021941833896269,0.00010016767286,-0.0001417285036327,0.0001873881931228,0.0064205276146814,0.0,4.620985652730575e-05,0.0,1.1047130475241344e-05,0.0002701169002029,0.0014326369314988,-0.0001353482448241,0.0018913745204555,0.0003074185751592,0.0310973680010355,5.186353303650141e-05,3.478636037305914e-05,0.0014507769400682,0.0013002809313372,0.1251685317364169,0.0001120382907269,3.478636037305914e-05,0.0017235759602635,0.0001355546908798,-9.039424962898746e-05,3.478636037305914e-05,-9.426916976422812e-05,0.0
kddcup99-corrected-u2rvsnormal-nominal-cleaned,0.0976468147783717,-0.0441307925274836,-0.018280405844168,0.0495656386392447,0.5289848314737279,0.0777660253058287,-0.0377381037212484,0.0252225182373717,0.0808676199511778,0.1483704974271011,0.0698218373420529,0.0401775804661487,0.1002925689942658,0.0,0.0,0.0,-0.0090294917881124,0.0,0.0153313363296312,0.0423273872799782,0.0533714981979196,0.0292768028617085,0.1636357726748249,0.0133092585017257,0.063565300416243,-0.0186571663805058,0.0390775681341719,0.1666132098713783,0.0004373680059191,-0.0227853270220887,-0.010965543112488,0.0831027253668763,0.1666132098713783,0.0178614866369858,0.0,-0.0038918309142218,0.0880180616029672,0.0127401993685832
solar-flare_FvsAll-cleaned,0.0490691567296972,0.0283345066047532,0.0395115235017591,0.060424571982747,0.1298863957101296,0.1198664741335528,0.0890376244564199,-0.0073573827594754,0.0144394005441521,0.057417767337724,0.0813073164538283,0.0107930875088521,0.0571988315363231,0.1956810848526884,0.1611588803830478,0.0,0.0,0.0,0.010080307898844,0.0180065035446406,0.0138518131012818,0.0502550329494059,0.0140815920555869,0.0150628502048051,0.0398656976106876,0.0016727218051154,0.0851643089003859,0.0493839001422321,0.0179800490223037,0.0299871280306418,0.0156366542907423,0.0567157105297063,0.0539982064604837,0.0048921093085452,0.010805033273244,0.0064781508644624,0.0094689186632979,0.0
bands_band_16_variant1ori,-0.0182496485464492,0.0982719099029187,0.1411290890112916,-0.0184284506757625,0.0341630617541815,-0.007085075825009,0.1311641926998574,0.030565129376441,0.0590580721557729,0.1056898559702265,0.1738605793217448,0.0393954870886694,0.0322816562222605,0.0,0.0,0.0,0.0,0.0410683268307894,0.0776068870015609,0.2384522363091184,0.1353999362012154,0.0759099371707444,0.1282448920188232,0.41506230255929,0.1039564602712362,0.3570623019808126,0.2204070599351397,0.0437554064513794,0.3768135951776813,0.0858124323507819,0.2316469462619365,0.1546356029284371,0.0518772166255994,0.0379788865203829,0.005975091652751,0.0149296878234737,0.0206474099371723,0.0028364220181308
sick_sick_35_variant1ori,-0.0044046251623684,0.0051978281814975,0.0460077041063918,-0.0043695516821371,-0.0016200363825632,0.0091002191069957,0.0179867149820751,-0.0036306590828821,0.0506500267281775,0.0696372735150199,0.1332695094941294,2.248162838900928e-05,0.058616199314982,0.0,0.0,0.0,0.0,0.0663775970619457,0.0379427069675312,0.0627143363349145,0.0935589126873779,0.0124641768840335,0.0729937144700987,0.0546331623459453,0.049757037485822,0.0896796892366318,0.022453331865009,0.0645039168202915,0.0317117190557976,0.0257642732261232,0.0326265823279112,0.039161253970079,0.0358655361934037,0.009439517957795,0.0125699316196916,0.0059600853559222,0.0198420421358549,0.0056733195138986
thyroid_disease_variant1ori,0.0540242601907559,-0.0070456434472404,-0.0105202281322428,0.051504407736423,0.0961861353492173,-0.0063335990617489,-0.0159837995772487,0.0020115431895982,0.0916272231598629,0.1395646071025493,0.1602979559185564,-0.0080088904359792,0.0913030459396226,0.0,0.0,0.0,0.0,0.2255142884726983,0.0295993935257399,-0.0027412349475243,-0.0056810988537383,-0.0031549195654955,-0.008335031431674,0.0600460599093025,0.053933157791552,-0.0033015886415343,-0.0032611364375191,-0.0104318298911516,0.054269032276568,0.0573129634765958,0.0246563713486048,-0.000609641005889,0.0159049700649976,0.0,0.0,0.0,-0.0008164517585604,0.0
hepatitis,-0.0086379478779182,0.0572139303482587,0.1819747416762342,-0.0091245682614496,0.0091715336361669,0.2903131401814456,0.1443037338559726,-0.0095485928004632,0.3922544142034923,0.2487562189054726,0.2221584385763489,0.0280541735765616,0.232821400245151,0.0275733386795256,0.0648721992005574,0.0223046598086293,0.0,0.035033167495854,0.2396351575456053,0.1390270867882808,0.1121738053029869,0.0404620255366524,0.2675511332227749,0.0972734891848998,0.1087962962962962,0.0752965939533103,0.0832202623247399,0.0677910183828866,0.02999495277237,0.0144693200663349,0.02999495277237,0.0350810224017883,0.02999495277237,0.0290247358355095,0.0205347904352879,0.0265054040144107,-0.0070062147176575,0.0112166369039896
lymphography,-0.0172351219430002,0.582684998882182,0.7725240330874134,-0.0173050727263687,0.5450480661748267,0.5121944225740919,0.7032472613458529,-0.0163276807373174,0.2937946077872593,0.3919200530453727,0.2599717546471239,0.151603719654936,0.1282582536995202,0.4380340968369137,0.5913704448915714,0.5667321388649357,0.0,0.4252546111330396,0.6048122065727698,0.8262910798122066,0.8262910798122066,0.0997611485805098,0.8014755197853789,0.6178403755868545,0.8262910798122066,0.8014755197853789,0.2639569996642539,0.5276453593355002,0.5031373425739623,0.2027788202877957,0.5241886099203918,0.3132431626797824,0.4663208466025367,0.0793572780590435,0.045627701418408,-0.0063659451273342,0.015802834182519,-0.0096188916255233
